MsgID.GLOBAL_POSITION,1523174249.2863030,-122.3957498,37.7932816,0.0780000
MsgID.LOCAL_VELOCITY,1523174249.2863030,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523174249.2868319,-0.0122042,0.1464969,-0.0780647
MsgID.LOCAL_VELOCITY,1523174249.2868319,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1523174249.2876546,-122.3957511,37.7932829,0.0600000
MsgID.LOCAL_VELOCITY,1523174249.2876546,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523174249.2882802,0.1414768,0.0232623,-0.0607552
MsgID.LOCAL_VELOCITY,1523174249.2882802,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1523174249.2892039,-122.3957515,37.7932824,0.0460000
MsgID.LOCAL_VELOCITY,1523174249.2892039,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523174249.2900655,0.0785932,-0.0055465,-0.0463663
MsgID.LOCAL_VELOCITY,1523174249.2900655,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1523174249.4858623,-122.3957514,37.7932817,0.0360000
MsgID.LOCAL_VELOCITY,1523174249.4858623,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523174249.4864838,0.0197384,0.0481018,-0.0366249
MsgID.LOCAL_VELOCITY,1523174249.4864838,0.0000010,0.0000001,-0.0000096
MsgID.STATE,1523174249.7308729,True,True
MsgID.GLOBAL_HOME,1523174249.7330978,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1523174249.7730174,-122.3957513,37.7932817,0.0310000
MsgID.LOCAL_VELOCITY,1523174249.7730174,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523174249.7738957,0.0182121,0.0517029,-0.0313327
MsgID.LOCAL_VELOCITY,1523174249.7738957,-0.0000383,0.0001387,-0.0059250
MsgID.GLOBAL_POSITION,1523174249.9861417,-122.3957531,37.7932807,0.2770000
MsgID.LOCAL_VELOCITY,1523174249.9861417,0.0000000,0.0000000,-2.0200000
MsgID.LOCAL_POSITION,1523174249.9869683,-0.0882496,-0.1047074,-0.2773086
MsgID.LOCAL_VELOCITY,1523174249.9869683,0.0020636,0.0049736,-2.0296741
MsgID.GLOBAL_POSITION,1523174250.2345850,-122.3957525,37.7932807,1.0600000
MsgID.LOCAL_VELOCITY,1523174250.2345850,0.0100000,0.0200000,-3.9400000
MsgID.LOCAL_POSITION,1523174250.2354419,-0.0916839,-0.0494386,-1.0603552
MsgID.LOCAL_VELOCITY,1523174250.2354419,0.0134073,0.0214154,-3.9472415
MsgID.GLOBAL_POSITION,1523174250.4855230,-122.3957516,37.7932816,2.1840000
MsgID.LOCAL_VELOCITY,1523174250.4855230,0.0100000,0.0100000,-4.5800000
MsgID.LOCAL_POSITION,1523174250.4859209,0.0092481,0.0298376,-2.1845179
MsgID.LOCAL_VELOCITY,1523174250.4859209,0.0197985,0.0165307,-4.5896659
MsgID.STATE,1523174250.7320294,True,True
MsgID.GLOBAL_HOME,1523174250.7343593,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1523174250.7772756,-122.3957497,37.7932811,3.3240000
MsgID.LOCAL_VELOCITY,1523174250.7772756,0.0000000,0.0000000,-4.6600000
MsgID.LOCAL_POSITION,1523174250.7781920,-0.0437273,0.1942986,-3.3241885
MsgID.LOCAL_VELOCITY,1523174250.7781920,0.0097808,0.0091061,-4.6662250
MsgID.GLOBAL_POSITION,1523174250.9868000,-122.3957507,37.7932823,4.5080000
MsgID.LOCAL_VELOCITY,1523174250.9868000,0.0100000,-0.0100000,-4.6800000
MsgID.LOCAL_POSITION,1523174250.9876292,0.0916119,0.1048607,-4.5107331
MsgID.LOCAL_VELOCITY,1523174250.9876292,0.0104383,-0.0138215,-4.6898470
MsgID.GLOBAL_POSITION,1523174251.2353168,-122.3957509,37.7932819,5.7040000
MsgID.LOCAL_VELOCITY,1523174251.2353168,0.0000000,-0.0100000,-4.7800000
MsgID.LOCAL_POSITION,1523174251.2359731,0.0457184,0.0859445,-5.7073040
MsgID.LOCAL_VELOCITY,1523174251.2359731,0.0020825,-0.0124853,-4.7848172
MsgID.GLOBAL_POSITION,1523174251.4857810,-122.3957503,37.7932805,6.9040000
MsgID.LOCAL_VELOCITY,1523174251.4857810,0.0000000,0.0000000,-4.7700000
MsgID.LOCAL_POSITION,1523174251.4866819,-0.1157689,0.1405096,-6.9064174
MsgID.LOCAL_VELOCITY,1523174251.4866819,-0.0092898,-0.0076375,-4.7763600
MsgID.STATE,1523174251.7318358,True,True
MsgID.GLOBAL_HOME,1523174251.7340248,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1523174251.7771220,-122.3957528,37.7932824,8.1340000
MsgID.LOCAL_VELOCITY,1523174251.7771220,0.0000000,0.0000000,-4.7400000
MsgID.LOCAL_POSITION,1523174251.7777174,0.0987067,-0.0819728,-8.1342325
MsgID.LOCAL_VELOCITY,1523174251.7777174,0.0058072,-0.0073128,-4.7490668
MsgID.GLOBAL_POSITION,1523174251.9850826,-122.3957529,37.7932829,8.6220000
MsgID.LOCAL_VELOCITY,1523174251.9850826,0.0000000,0.0000000,-4.7400000
MsgID.LOCAL_POSITION,1523174251.9852669,0.1595596,-0.0912446,-8.6222153
MsgID.LOCAL_VELOCITY,1523174251.9852669,0.0093455,0.0005623,-4.7452102
MsgID.GLOBAL_POSITION,1523174252.2360911,-122.3957502,37.7932807,10.3490000
MsgID.LOCAL_VELOCITY,1523174252.2360911,0.0000000,0.0200000,-3.0300000
MsgID.LOCAL_POSITION,1523174252.2366822,-0.0931390,0.1543760,-10.3514643
MsgID.LOCAL_VELOCITY,1523174252.2366822,-0.0089864,0.0216584,-3.0336173
MsgID.GLOBAL_POSITION,1523174252.4867513,-122.3957492,37.7932826,10.7800000
MsgID.LOCAL_VELOCITY,1523174252.4867513,0.0000000,0.0200000,-0.5700000
MsgID.LOCAL_POSITION,1523174252.5291121,0.1256957,0.2416822,-10.7803593
MsgID.LOCAL_VELOCITY,1523174252.5291121,-0.0084641,0.0203997,-0.5769209
MsgID.STATE,1523174252.7308147,True,True
MsgID.GLOBAL_HOME,1523174252.7328837,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1523174252.7730880,-122.3957497,37.7932827,10.6270000
MsgID.LOCAL_VELOCITY,1523174252.7730880,0.2900000,0.0100000,1.4300000
MsgID.LOCAL_POSITION,1523174252.7736714,0.1272737,0.1972582,-10.6271667
MsgID.LOCAL_VELOCITY,1523174252.7736714,0.2992845,0.0137615,1.4386896
MsgID.GLOBAL_POSITION,1523174252.9868279,-122.3957492,37.7932837,10.1970000
MsgID.LOCAL_VELOCITY,1523174252.9868279,1.2600000,0.0000000,1.9400000
MsgID.LOCAL_POSITION,1523174252.9875393,0.2401059,0.2376775,-10.1966858
MsgID.LOCAL_VELOCITY,1523174252.9875393,1.2634033,-0.0068780,1.9406579
MsgID.GLOBAL_POSITION,1523174253.2379639,-122.3957498,37.7932885,9.8320000
MsgID.LOCAL_VELOCITY,1523174253.2379639,3.1500000,-0.0400000,0.5800000
MsgID.LOCAL_POSITION,1523174253.2385540,0.7802143,0.1838161,-9.8318233
MsgID.LOCAL_VELOCITY,1523174253.2385540,3.1555483,-0.0437823,0.5819596
MsgID.GLOBAL_POSITION,1523174253.4864273,-122.3957515,37.7932971,9.8810000
MsgID.LOCAL_VELOCITY,1523174253.4864273,4.9600000,-0.0700000,-0.7700000
MsgID.LOCAL_POSITION,1523174253.4871247,1.7320638,0.0375675,-9.8823395
MsgID.LOCAL_VELOCITY,1523174253.4871247,4.9723067,-0.0706945,-0.7800807
MsgID.STATE,1523174253.7316132,True,True
